Linux 6.10.8default-kernel (jeonghoon-MS-7D22) 	2025년 07월 29일 	_x86_64_	(12 CPU)

14시 44분 49초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
14시 45분 10초  1000         -    391578   36.00   51.00    0.00    0.00   87.00     3  |__io_uring_udp_se
14시 45분 10초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 11초  1000    391578         -   33.00  156.00    0.00    0.00  189.00     3  io_uring_udp_se
14시 45분 11초  1000         -    391578   33.00   56.00    0.00    0.00   89.00     3  |__io_uring_udp_se
14시 45분 11초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 12초  1000    391578         -   38.00  158.00    0.00    0.00  196.00     3  io_uring_udp_se
14시 45분 12초  1000         -    391578   38.00   59.00    0.00    0.00   97.00     3  |__io_uring_udp_se
14시 45분 12초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 13초  1000    391578         -   28.00  167.00    0.00    0.00  195.00     3  io_uring_udp_se
14시 45분 13초  1000         -    391578   28.00   67.00    0.00    0.00   95.00     3  |__io_uring_udp_se
14시 45분 13초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 14초  1000    391578         -   30.00  166.00    0.00    0.00  196.00     3  io_uring_udp_se
14시 45분 14초  1000         -    391578   30.00   66.00    0.00    0.00   96.00     3  |__io_uring_udp_se
14시 45분 14초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 15초  1000    391578         -   29.00  165.00    0.00    0.00  194.00     3  io_uring_udp_se
14시 45분 15초  1000         -    391578   29.00   65.00    0.00    0.00   94.00     3  |__io_uring_udp_se
14시 45분 15초  1000         -    391580    0.00  100.00    0.00    0.00  100.00     1  |__iou-sqp-391578
14시 45분 16초  1000    391578         -   22.00  175.00    0.00    0.00  197.00     3  io_uring_udp_se
