Linux 6.10.8adaptive-sq+ (jeonghoon-MS-7D22) 	2025년 07월 31일 	_x86_64_	(12 CPU)

11시 48분 04초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
11시 48분 25초     0         -    118224    0.00   83.00    0.00    0.00   83.00     3  |__iou-sqp-118222
11시 48분 26초     0    118222         -    2.00  137.00    0.00    0.00  139.00     0  napi-busy-poll-
11시 48분 26초     0         -    118222    2.00   54.00    0.00    0.00   56.00     0  |__napi-busy-poll-
11시 48분 26초     0         -    118224    0.00   83.00    0.00    0.00   83.00     3  |__iou-sqp-118222
11시 48분 27초     0    118222         -    4.00  137.00    0.00    0.00  141.00     2  napi-busy-poll-
11시 48분 27초     0         -    118222    5.00   53.00    0.00    0.00   58.00     2  |__napi-busy-poll-
11시 48분 27초     0         -    118224    0.00   84.00    0.00    3.00   84.00     0  |__iou-sqp-118222
11시 48분 28초     0    118222         -    2.00  141.00    0.00    0.00  143.00     2  napi-busy-poll-
11시 48분 28초     0         -    118222    3.00   53.00    0.00    0.00   56.00     2  |__napi-busy-poll-
11시 48분 28초     0         -    118224    0.00   86.00    0.00    0.00   86.00     0  |__iou-sqp-118222
11시 48분 29초     0    118222         -    3.00  138.00    0.00    0.00  141.00     0  napi-busy-poll-
11시 48분 29초     0         -    118222    3.00   54.00    0.00    0.00   57.00     0  |__napi-busy-poll-
11시 48분 29초     0         -    118224    0.00   85.00    0.00    3.00   85.00     3  |__iou-sqp-118222
11시 48분 30초     0    118222         -    3.00  145.00    0.00    0.00  148.00     4  napi-busy-poll-
11시 48분 30초     0         -    118222    3.00   54.00    0.00    0.00   57.00     4  |__napi-busy-poll-
11시 48분 30초     0         -    118224    0.00   90.00    0.00    0.00   90.00     3  |__iou-sqp-118222
11시 48분 31초     0    118222         -    3.00  146.00    0.00    1.00  149.00     2  napi-busy-poll-
11시 48분 31초     0         -    118222    5.00   53.00    0.00    1.00   58.00     2  |__napi-busy-poll-
11시 48분 31초     0         -    118224    0.00   92.00    0.00    0.00   92.00     3  |__iou-sqp-118222
11시 48분 32초     0    118222         -    5.00  142.00    0.00    0.00  147.00     1  napi-busy-poll-
11시 48분 32초     0         -    118222    5.00   52.00    0.00    0.00   57.00     1  |__napi-busy-poll-
11시 48분 32초     0         -    118224    0.00   90.00    0.00    0.00   90.00     3  |__iou-sqp-118222
11시 48분 33초     0    118222         -    5.00  147.00    0.00    0.00  152.00     3  napi-busy-poll-
11시 48분 33초     0         -    118222    7.00   52.00    0.00    0.00   59.00     3  |__napi-busy-poll-
11시 48분 33초     0         -    118224    0.00   93.00    0.00    0.00   93.00     5  |__iou-sqp-118222
