Linux 6.10.8adaptive-sq+ (jeonghoon-MS-7D22) 	2025년 07월 31일 	_x86_64_	(12 CPU)

11시 56분 10초   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
11시 56분 31초     0         -    122224    0.00  100.00    0.00    0.00  100.00     0  |__iou-sqp-122222
11시 56분 32초     0    122222         -    3.00  154.00    0.00    0.00  157.00     1  napi-busy-poll-
11시 56분 32초     0         -    122222    4.00   53.00    0.00    0.00   57.00     1  |__napi-busy-poll-
11시 56분 32초     0         -    122224    0.00  100.00    0.00    0.00  100.00     0  |__iou-sqp-122222
11시 56분 33초     0    122222         -    3.00  155.00    0.00    0.00  158.00     1  napi-busy-poll-
11시 56분 33초     0         -    122222    3.00   55.00    0.00    0.00   58.00     1  |__napi-busy-poll-
11시 56분 33초     0         -    122224    0.00  100.00    0.00    0.00  100.00     0  |__iou-sqp-122222
11시 56분 34초     0    122222         -    3.00  155.00    0.00    0.00  158.00     1  napi-busy-poll-
11시 56분 34초     0         -    122222    3.00   54.00    0.00    0.00   57.00     1  |__napi-busy-poll-
11시 56분 34초     0         -    122224    0.00  100.00    0.00    0.00  100.00     0  |__iou-sqp-122222
11시 56분 35초     0    122222         -    2.00  155.00    0.00    0.00  157.00     2  napi-busy-poll-
11시 56분 35초     0         -    122222    2.00   55.00    0.00    0.00   57.00     2  |__napi-busy-poll-
11시 56분 35초     0         -    122224    0.00  100.00    0.00    0.00  100.00     0  |__iou-sqp-122222
11시 56분 36초     0    122222         -    4.00  153.00    0.00    0.00  157.00     4  napi-busy-poll-
11시 56분 36초     0         -    122222    6.00   52.00    0.00    0.00   58.00     4  |__napi-busy-poll-
11시 56분 36초     0         -    122224    0.00  100.00    0.00    0.00  100.00     0  |__iou-sqp-122222
11시 56분 37초     0    122222         -    3.00  155.00    0.00    0.00  158.00     4  napi-busy-poll-
11시 56분 37초     0         -    122222    3.00   54.00    0.00    0.00   57.00     4  |__napi-busy-poll-
11시 56분 37초     0         -    122224    0.00  100.00    0.00    0.00  100.00     0  |__iou-sqp-122222
11시 56분 38초     0    122222         -    4.00  154.00    0.00    0.00  158.00     3  napi-busy-poll-
