Linux 6.10.8nazgul+ (bb1) 	07/01/2025 	_x86_64_	(32 CPU)

03:13:33 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:14:41 AM     0      2735    4.00  101.00    0.00    0.00  105.00     2  io_uring_echo_s
03:14:42 AM     0      2735    3.00  100.00    0.00    0.00  103.00     2  io_uring_echo_s
03:14:43 AM     0      2735    3.00  101.00    0.00    1.00  104.00     2  io_uring_echo_s
03:14:44 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:14:45 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:14:46 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:14:47 AM     0      2735    5.00  100.00    0.00    0.00  105.00     2  io_uring_echo_s
03:14:48 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:14:49 AM     0      2735    5.00   99.00    0.00    0.00  104.00     2  io_uring_echo_s
03:14:50 AM     0      2735    3.00  101.00    0.00    0.00  104.00     2  io_uring_echo_s
03:14:51 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:14:52 AM     0      2735    5.00   99.00    0.00    0.00  104.00     2  io_uring_echo_s
03:14:53 AM     0      2735    3.00  101.00    0.00    0.00  104.00     2  io_uring_echo_s
03:14:54 AM     0      2735    3.00  101.00    0.00    0.00  104.00     2  io_uring_echo_s
03:14:55 AM     0      2735    3.00  101.00    0.00    0.00  104.00     2  io_uring_echo_s
03:14:56 AM     0      2735    4.00  101.00    0.00    0.00  105.00     2  io_uring_echo_s
03:14:57 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:14:58 AM     0      2735    5.00   99.00    0.00    0.00  104.00     2  io_uring_echo_s
03:14:59 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:00 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:01 AM     0      2735    5.00   99.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:02 AM     0      2735    3.96   99.01    0.00    0.99  102.97     2  io_uring_echo_s
03:15:03 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:04 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:05 AM     0      2735    4.00  100.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:06 AM     0      2735    3.00  101.00    0.00    0.00  104.00     2  io_uring_echo_s
03:15:07 AM     0      2735    5.00   99.00    0.00    0.00  104.00     2  io_uring_echo_s
